entity,count,IUPACname,cid
"CALCITRIOL, VIT D, 1,25-DIHYDROXYVITAMIN D, 1,25-DIHYDROXYVITAMIN D3, 1,25-DIHYDROXY VITAMIN D3, 1,25-(OH)2-D3",76,"(1R,3S,5Z)-5-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexane-1,3-diol",5280453
AMLODIPINE,76,"3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate",2162
"GALACTOSE, D-GALACTOSE, D-GAL",76,"(3R,4S,5R,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",6036
MELAMINE,75,"1,3,5-triazine-2,4,6-triamine",7955
"LYCOPENE, LYC, TRANS-LYCOPENE, CIS-LYCOPENE",75,"(6E,8E,10E,12E,14E,16E,18E,20E,22E,24E,26E)-2,6,10,14,19,23,27,31-octamethyldotriaconta-2,6,8,10,12,14,16,18,20,22,24,26,30-tridecaene",446925
"BERBERINE, BER, BERBERIN",75,"16,17-dimethoxy-5,7-dioxa-13-azoniapentacyclo[11.8.0.02,10.04,8.015,20]henicosa-1(13),2,4(8),9,14,16,18,20-octaene",2353
"HG, MERCURY",75,mercury,23931
"NITRATE, NITRATES, NO3-",74,nitrate,943
"IODINE, I2",74,molecular iodine,807
"CHOLINE, CHT",74,2-hydroxyethyl(trimethyl)azanium,305
"CO, COBALT, COBALT NANORODS",74,cobalt,104730
"AU, GOLD, GOLD NANORODS, GOLD NANOCUBES",73,gold,23985
"CHLOROGENIC ACID, CGA, 5-CQA, 3-O-CAFFEOYLQUINIC ACID",73,"(1S,3R,4R,5R)-3-[(E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]oxy-1,4,5-trihydroxycyclohexane-1-carboxylic acid",1794427
FT3,73,"2-(2,4-dichlorophenoxy)-5-(hydroxymethyl)phenol",23656595
"CORTICOSTERONE, COMPOUND B, CORTICO",73,"(8S,9S,10R,11S,13S,14S,17S)-11-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",5753
"PAH, PARA-AMINOHIPPURIC ACID, P-AMINOHIPPURIC ACID",72,2-[(4-aminobenzoyl)amino]acetic acid,2148
XA,70,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",191
ALLOXAN,70,"1,3-diazinane-2,4,5,6-tetrone",5781
PROBENECID,69,4-(dipropylsulfamoyl)benzoic acid,4911
EG,69,4-amino-5-(carboxymethylamino)-5-oxopentanoic acid,302428
"MSG, MONOSODIUM GLUTAMATE, MONOSODIUM L-GLUTAMATE",68,sodium;(2S)-2-amino-5-hydroxy-5-oxopentanoate,23672308
"OXYPURINOL, OXIPURINOL",68,"1,7-dihydropyrazolo[3,4-d]pyrimidine-4,6-dione",135398752
"POTASSIUM CITRATE, K CITRATE, POTASSIUMCITRATE",68,"tripotassium;2-hydroxypropane-1,2,3-tricarboxylate",13344
DHA,68,"(4R,5R,6S)-2,4,5-trihydroxyoxane-2,6-dicarboxylic acid",15608515
"SODIUM ACETATE, SCFA",67,sodium;acetate,517045
"SIROLIMUS, RAPAMYCIN, RAPA, RAP, RAPAMUNE, RPM",66,"(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-1,18-dihydroxy-12-[(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",5284616
"FFA, FLUFENAMIC ACID",66,2-[3-(trifluoromethyl)anilino]benzoic acid,3371
"COC, COCAINE, COLA",66,"methyl (1R,2R,3S,5S)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate",446220
"LUTEOLIN, LUTEOLINE",65,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",5280445
"TMB, 3,3',5,5'-TETRAMETHYLBENZIDINE",65,"4-(4-amino-3,5-dimethylphenyl)-2,6-dimethylaniline",41206
TOFOGLIFLOZIN,65,"(3S,3'R,4'S,5'S,6'R)-5-[(4-ethylphenyl)methyl]-6'-(hydroxymethyl)spiro[1H-2-benzofuran-3,2'-oxane]-3',4',5'-triol",46908929
"LA, LANTHANUM",64,lanthanum,23926
"INDOXYL SULFATE, INDOXYLSULFATE, INDOXYL SULPHATE, INDOXYLSULFURIC ACID, INDOXYL-SULFATE",64,1H-indol-3-yl hydrogen sulfate,10258
"METHANOL, CH3OH",64,methanol,887
TOLVAPTAN,64,"N-[4-(7-chloro-5-hydroxy-2,3,4,5-tetrahydro-1-benzazepine-1-carbonyl)-3-methylphenyl]-2-methylbenzamide",216237
"SILVER, AG, SILVER NANOWIRES, SILVER WIRE, SILVER NANORODS, AG NANOWIRES",64,silver,23954
ULT,63,"4-[[3-[2-chloro-6-(trifluoromethyl)phenyl]-5-(1H-pyrrol-3-yl)-1,2-oxazol-4-yl]methoxy]benzoic acid",154649072
CLOPIDOGREL,63,"methyl (2S)-2-(2-chlorophenyl)-2-(6,7-dihydro-4H-thieno[3,2-c]pyridin-5-yl)acetate",60606
"GA3, GIBBERELLIC ACID, GIBBERELLIN",63,"(1R,2R,5S,8S,9S,10R,11S,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",6466
"HYDROXYCHLOROQUINE, HCQ",63,2-[4-[(7-chloroquinolin-4-yl)amino]pentyl-ethylamino]ethanol,3652
"ISO, ISOPROTERENOL, ISOPRENALINE",62,"4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol",3779
"LIRAGLUTIDE, VICTOZA",62,"(2S)-5-[[(5S)-5-[[(2S)-2-[[(2S)-2-[[(2S)-5-amino-2-[[2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S,3R)-2-[[(2S)-2-[[(2S,3R)-2-[[2-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-(1H-imidazol-5-yl)propanoyl]amino]propanoyl]amino]-4-carboxybutanoyl]amino]acetyl]amino]-3-hydroxybutanoyl]amino]-3-phenylpropanoyl]amino]-3-hydroxybutanoyl]amino]-3-hydroxypropanoyl]amino]-3-carboxypropanoyl]amino]-3-methylbutanoyl]amino]-3-hydroxypropanoyl]amino]-3-hydroxypropanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-4-methylpentanoyl]amino]-4-carboxybutanoyl]amino]acetyl]amino]-5-oxopentanoyl]amino]propanoyl]amino]propanoyl]amino]-6-[[(2S)-1-[[(2S)-1-[[(2S,3S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-1-[[(2S)-5-carbamimidamido-1-[[2-[[(2S)-5-carbamimidamido-1-(carboxymethylamino)-1-oxopentan-2-yl]amino]-2-oxoethyl]amino]-1-oxopentan-2-yl]amino]-3-methyl-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]amino]-3-(1H-indol-3-yl)-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]amino]-1-oxo-3-phenylpropan-2-yl]amino]-4-carboxy-1-oxobutan-2-yl]amino]-6-oxohexyl]amino]-2-(hexadecanoylamino)-5-oxopentanoic acid",16134956
"DEHP, DOP, BIS(2-ETHYLHEXYL) PHTHALATE, ETHYL HEXYL PHTHALATE, DI-2-ETHYLHEXYL PHTHALATE, DI-(2-ETHYLHEXYL) PHTHALATE, DIETHYLHEXYL PHTHALATE",62,"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",8343
"NADH, DIHYDRONICOTINAMIDE ADENINE DINUCLEOTIDE",60,"[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate",439153
BSA,60,trimethylsilyl N-trimethylsilylethanimidate,25248
"AMMONIUM, NH4+",60,azanium,223
"FUROSEMIDE, FRUSEMIDE, NEPHRON",60,4-chloro-2-(furan-2-ylmethylamino)-5-sulfamoylbenzoic acid,3440
EZETIMIBE,60,"(3R,4S)-1-(4-fluorophenyl)-3-[(3S)-3-(4-fluorophenyl)-3-hydroxypropyl]-4-(4-hydroxyphenyl)azetidin-2-one",150311
"PALMITIC ACID, FAT, PLM, HEXADECANOIC ACID, PALMITATE, C16:0",59,hexadecanoic acid,985
INULIN,59,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-2-[[(2R,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",24763
THIAZIDE,59,"6-chloro-1,1-dioxo-4H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",2720
"TAA, THIOACETAMIDE",59,ethanethioamide,2723949
"BUTYRATE, BUTANOATE",59,butanoate,104775
CARNITINE,59,3-hydroxy-4-(trimethylazaniumyl)butanoate,288
FT4,59,"2-[(3R)-3-[(4-fluorophenyl)sulfonyl-methylamino]-1,2,3,4-tetrahydrocarbazol-9-yl]acetic acid",25817650
"GSSG, GLUTATHIONE DISULFIDE, GLUTATHIONE DISULPHIDE",59,(2S)-2-amino-5-[[(2R)-3-[[(2R)-2-[[(4S)-4-amino-4-carboxybutanoyl]amino]-3-(carboxymethylamino)-3-oxopropyl]disulfanyl]-1-(carboxymethylamino)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,65359
"MN, MANGANESE, MN(IV)",58,manganese,23930
"PFOA, PERFLUOROOCTANOIC ACID",57,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoic acid",9554
"MOLYBDENUM, MO, MO5",57,molybdenum,23932
"VPA, VALPROATE, VALPROIC ACID",57,2-propylpentanoic acid,3121
ARB,57,"(2S,3R,4S,5S)-oxane-2,3,4,5-tetrol",439764
IPRAGLIFLOZIN,56,"(2S,3R,4R,5S,6R)-2-[3-(1-benzothiophen-2-ylmethyl)-4-fluorophenyl]-6-(hydroxymethyl)oxane-3,4,5-triol",10453870
"ADP, ADENOSINE DIPHOSPHATE, ADENOSINE-5-DIPHOSPHATE, ADENOSINE 5?-DIPHOSPHATE",56,"[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",6022
GOX,56,"(2R,3R,4S,5S)-6-(hydroxyamino)-2-(hydroxymethyl)-2,3,4,5-tetrahydropyridine-3,4,5-triol",445248
"EDARAVONE, 3-METHYL-1-PHENYL-2-PYRAZOLIN-5-ONE",56,5-methyl-2-phenyl-4H-pyrazol-3-one,4021
"NOREPINEPHRINE, NORADRENALINE",55,"4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol",439260
"THEOBROMINE, 3,7-DIMETHYLXANTHINE",55,"3,7-dimethylpurine-2,6-dione",5429
VENETOCLAX,55,"4-[4-[[2-(4-chlorophenyl)-4,4-dimethylcyclohexen-1-yl]methyl]piperazin-1-yl]-N-[3-nitro-4-(oxan-4-ylmethylamino)phenyl]sulfonyl-2-(1H-pyrrolo[2,3-b]pyridin-5-yloxy)benzamide",49846579
SPIRONOLACTONE,55,"S-[(7R,8R,9S,10R,13S,14S,17R)-10,13-dimethyl-3,5'-dioxospiro[2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-17,2'-oxolane]-7-yl] ethanethioate",5833
"RIFAMPICIN, RIF",55,"[(7S,9E,11S,12R,13S,14R,15R,16R,17S,18S,19E,21Z)-2,15,17,27,29-pentahydroxy-11-methoxy-3,7,12,14,16,18,22-heptamethyl-26-[(E)-(4-methylpiperazin-1-yl)iminomethyl]-6,23-dioxo-8,30-dioxa-24-azatetracyclo[23.3.1.14,7.05,28]triaconta-1(29),2,4,9,19,21,25,27-octaen-13-yl] acetate",135398735
"SDMA, SYMMETRIC DIMETHYLARGININE, SYMMETRIC DIMETHYL-L-ARGININE",55,"(2S)-2-amino-5-[(N,N'-dimethylcarbamimidoyl)amino]pentanoic acid",169148
"25(OH)D3, 25-HYDROXYVITAMIN D3, CALCIDIOL, 25-HYDROXY VITAMIN D3",55,"(1S,3Z)-3-[(2E)-2-[(1R,3aS,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",5283731
ENALAPRIL,55,(2S)-1-[(2S)-2-[[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino]propanoyl]pyrrolidine-2-carboxylic acid,5388962
FERRIC,54,"3-[[(3S,7S,11S)-7,11-bis[(2,3-dioxidobenzoyl)amino]-2,6,10-trioxo-1,5,9-trioxacyclododec-3-yl]carbamoyl]benzene-1,2-diolate;iron(3+)",16048613
NARINGENIN,53,"5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",932
"PFOS, PERFLUOROOCTANE SULFONATE, PERFLUOROOCTANE SULFONIC ACID, PERFLUOROOCTANESULFONIC ACID",53,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid",74483
TANNINS,53,"[2,3-dihydroxy-5-[[(2S,3S,4R,5S,6R)-3,4,5,6-tetrakis[[3,4-dihydroxy-5-(3,4,5-trihydroxybenzoyl)oxybenzoyl]oxy]oxan-2-yl]methoxycarbonyl]phenyl] 3,4,5-trihydroxybenzoate",16133892
"TCA, TRICHLOROACETIC ACID",53,"2,2,2-trichloroacetic acid",6421
"ARACHIDONIC ACID, C20:4, ARACHIDONATE",53,"(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid",444899
"5-FU, 5-FLUOROURACIL, FLUOROURACIL, FU, 5 FLUOROURACIL, 5-FLOROURACIL",53,"5-fluoro-1H-pyrimidine-2,4-dione",3385
"1,5-AG, 1,5-ANHYDROGLUCITOL, 1,5-ANHYDRO-D-GLUCITOL",53,"(2R,3S,4R,5S)-2-(hydroxymethyl)oxane-3,4,5-triol",64960
"ACETYLCHOLINE, ACH",53,2-acetyloxyethyl(trimethyl)azanium,187
TRIACYLGLYCEROL,52,"2,3-di(octadecanoyloxy)propyl octadecanoate",11146
VALSARTAN,52,(2S)-3-methyl-2-[pentanoyl-[[4-[2-(2H-tetrazol-5-yl)phenyl]phenyl]methyl]amino]butanoic acid,60846
"SODIUM BICARBONATE, NAHCO3",52,sodium;hydrogen carbonate,516892
SAPONINS,52,"(2S,3S,4S,5R,6R)-6-[[(3S,4S,6aR,6bS,8R,8aR,9R,10R,14bR)-9-acetyloxy-8-hydroxy-4,8a-bis(hydroxymethyl)-4,6a,6b,11,11,14b-hexamethyl-10-[(Z)-2-methylbut-2-enoyl]oxy-1,2,3,4a,5,6,7,8,9,10,12,12a,14,14a-tetradecahydropicen-3-yl]oxy]-4-hydroxy-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]oxane-2-carboxylic acid",6540709
"CUO, COPPER(II) OXIDE",52,oxocopper,14829
"NICOTINAMIDE, NIACINAMIDE, NAM",51,pyridine-3-carboxamide,936
LACTOSE,51,"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",6134
"BORON, B",51,boron,5462311
"DZN, DAIDZIN",51,"3-(4-hydroxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",107971
PHOSPHOROUS,50,lambda1-phosphane,6432095
"PROGESTERONE, PROGESTIN",50,"(8S,9S,10R,13S,14S,17S)-17-acetyl-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",5994
PREDNISONE,50,"(8S,9S,10R,13S,14S,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-6,7,8,9,12,14,15,16-octahydrocyclopenta[a]phenanthrene-3,11-dione",5865
"APIGENIN, CHAMOMILE",50,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",5280443
"DHEA, DEHYDROEPIANDROSTERONE, PRASTERONE, AND",50,"(3S,8R,9S,10R,13S,14S)-3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one",5881
"PGE2, PROSTAGLANDIN E2",49,"(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid",5280360
"IMP, INOSINE MONOPHOSPHATE, INOSINIC ACID, INOSINE 5'-MONOPHOSPHATE, INOSINE 5'-PHOSPHATE",49,"[(2R,3S,4R,5R)-3,4-dihydroxy-5-(6-oxo-1H-purin-9-yl)oxolan-2-yl]methyl dihydrogen phosphate",135398640
PROPOFOL,49,"2,6-di(propan-2-yl)phenol",4943
FERULIC ACID,49,(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid,445858
"GPT, ALANINEAMINOTRANSFERASE",49,"1-[4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]-5-methylpyrimidine-2,4-dione",251717
"GLYCEROL, GLYCERIN",49,"propane-1,2,3-triol",753
"CROCIN, SAFFRON",49,"bis[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl] (2E,4E,6E,8E,10E,12E,14E)-2,6,11,15-tetramethylhexadeca-2,4,6,8,10,12,14-heptaenedioate",5281233
PGE,48,2-(phenoxymethyl)oxirane,31217
"ISONIAZID, INH",48,pyridine-4-carbohydrazide,3767
"SARCOSINE, SAR",48,2-(methylamino)acetic acid,1088
"BRUSHITE, CALCIUM HYDROGEN PHOSPHATE DIHYDRATE, DICALCIUM PHOSPHATE DIHYDRATE",48,calcium;hydrogen phosphate;dihydrate,104805
GOT,48,"[(2R)-3-[[(2R)-2,3-dihydroxypropoxy]-hydroxyphosphoryl]oxy-2-[8-[(1R,2S)-2-hexylcyclopropyl]octanoyloxy]propyl] hexadecanoate",99713722
COD,48,"(1Z,5Z)-cycloocta-1,5-diene",82916
"THIOBARBITURIC ACID, THIOBARBITURATE",47,"2-sulfanylidene-1,3-diazinane-4,6-dione",2723628
"OXONATE, OXONIC ACID, OTERACIL",45,"4,6-dioxo-1H-1,3,5-triazine-2-carboxylic acid",4604
VITAMIN B12,45,"cobalt(3+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl] phosphate;cyanide",5311498
BCAA,45,2-bromo-2-chloroacetic acid,542762
"TYROSINE, L-TYROSINE, TYR, L-TYR",44,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,6057
"RIBAVIRIN, RBV",44,"1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,4-triazole-3-carboxamide",37542
"AMIKACIN, AMK",44,"(2S)-4-amino-N-[(1R,2S,3S,4R,5S)-5-amino-2-[(2S,3R,4S,5S,6R)-4-amino-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3R,4S,5S,6R)-6-(aminomethyl)-3,4,5-trihydroxyoxan-2-yl]oxy-3-hydroxycyclohexyl]-2-hydroxybutanamide",37768
"ANDROGEN, TESTOSTERONE PROPIONATE",44,"[(8R,9S,10R,13S,14S,17S)-10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl] propanoate",5995
"GENISTEIN, GEN",44,"5,7-dihydroxy-3-(4-hydroxyphenyl)chromen-4-one",5280961
"GLUCOSAMINE, GLCN, D-GLUCOSAMINE",44,"(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol",439213
"HEMATOXYLIN, HAEMATOXYLIN, HEMATOXYLINE",44,"(6aS,11bR)-7,11b-dihydro-6H-indeno[2,1-c]chromene-3,4,6a,9,10-pentol",442514
"GUANOSINE, GR",44,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",135398635
"OH, HYDROXY, HYDROXIDE",43,hydroxide,961
ACRYLAMIDE,43,prop-2-enamide,6579
ISOTRETINOIN,42,"(2Z,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",5282379
"TIO2, TITANIUM DIOXIDE, TITANIA",42,dioxotitanium,26042
TGS,42,"2-amino-9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-3H-purine-6-thione",2724387
"PLATINUM, PT, PT/C, PLATINUM WIRE, PLATINUM BLACK",42,platinum,23939
"CBZ, CARBAMAZEPINE",42,benzo[b][1]benzazepine-11-carboxamide,2554
"CALCIUM OXALATE DIHYDRATE, WEDDELLITE",42,calcium;oxalate;dihydrate,122156
"MG2+, MG++, MAGNESIUM IONS, MAGNESIUM ION",41,magnesium(2+),888
"RIBOFLAVIN, VITAMIN B2",41,"7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]benzo[g]pteridine-2,4-dione",493570
RHEIN,41,"4,5-dihydroxy-9,10-dioxoanthracene-2-carboxylic acid",10168
